Library Full Name,Library Number,Survey Year From,Ontario Library Service (OLS) Region (English),Type of Library Service (English),Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address
Addington Highlands Twp,L0005,2017,Southern Ontario Library Service,Public or Union Library,Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca
Adjala-TosorontioTwp,L0003,2017,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,7855 Sideroad 30 R.R. #1 ,Alliston,Ontario,L9R1V1,www.adjtos.ca
Admaston/Bromley Twp,L0002,2017,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5346 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com
Ajax,L0032,2017,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,ajaxlibrary.ca
Alberton Twp,L1098,2017,Ontario Library Service - North,Contracting Municipality,3 Highway 611 South RR1B2 ,3 Highway 611 South RR1B2 ,Township of Alberton,Ontario,P9A3M2,http://www.alberton.ca/
Alderville FN,L0390,2017,Southern Ontario Library Service,First Nations Library,P.O. Box 46 ,11696 Second Line Road ,Alderville,Ontario,K0K2X0,http://aldervillelearningcentre.com/index.php/library.html
Alfred & Plantagenet Twp,L0004,2017,Southern Ontario Library Service,Public or Union Library,C.P. 10 ,1963 rue de l'H?tel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,www.alfred-plantagenet.ca
Algonquins of Pikwakanagan FN,L0391,2017,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,http://algonquinsofpikwakanagan.com/library.php
Alnwick/Haldimand Twp,L0487,2017,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,,Grafton,Ontario,K0K2G0,www.alnwickhaldimand.ca
Amaranth Twp,L0012,2017,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth-eastgary.ca
Archipelago Twp,L0345,2017,Ontario Library Service - North,Contracting Municipality,9 James Street ,,Parry Sound,Ontario,P2A1T4,www.thearchipelago.on.ca
Armstrong Twp,L0013,2017,Ontario Library Service - North,Public or Union Library,C.P. 39 ,35 10th Street ,Earlton,Ontario,P0J1E0,http://www.olsn.ca/armstrong
Arnprior,L0014,2017,Southern Ontario Library Service,Public or Union Library,21 Madawaska Street ,21 Madawaska Street ,Arnprior,Ontario,K7S1R6,www.arnpriorlibrary.ca
Asphodel-Norwood,L0016,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 100 ,2363 County Road 45 ,Norwood,Ontario,K0L2V0,www.anpl.org
Assiginack Twp,L0017,2017,Ontario Library Service - North,Public or Union Library,Manitowaning Box 280  ,25A  Spragge St. ,Manitoulin Island,Ontario,P0P1N0,www.assiginacklibrary.org
Athens Twp,L0018,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 309 ,5 Central Street ,Athens,Ontario,K0E1B0,www.athenslibrary.ca
Atikameksheng Anishnawbek Band No. 6 FN,L0424,2017,Ontario Library Service - North,First Nations Library,25 reserve road ,212 Maaini Street ,Whitefish First Nation,Ontario,P0M2M0,http://www.wlfn.com
Atikokan,L0011,2017,Ontario Library Service - North,Public or Union Library,214 Skyes St. ,214 Sykes St. ,Atikokan,Ontario,P0T1C0,www.aplibrary.org
Augusta Twp,L0010,2017,Southern Ontario Library Service,Public or Union Library,R.R. #2 ,4500 County Road 15 ,Brockville,Ontario,K6V5T2,augustalibrary.com
Aundeck-Omni-Kaning FN,L1035,2017,Ontario Library Service - North,First Nations Library,P.O. Box 21  RR #1 ,13 Hill Street ,Little Current,Ontario,P0P1K0,
Aurora,L0033,2017,Southern Ontario Library Service,Public or Union Library,15145 Yonge Street ,Yonge Street ,Aurora,Ontario,L4G1M1,www.aurorapl.ca
Aweres LSB,L0488,2017,Ontario Library Service - North,Contracting LSB,399 A Hwy 17 N ,399 A Hwy 17 N ,Aweres Twp.,Ontario,P6A5K7,localservicesboardofaweres@shaw.ca
Baldwin Twp,L0061,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 7095 ,11 Spooner St ,McKerrow,Ontario,P0P1M0,www.townshipofbaldwin.ca
Bancroft Town,L0062,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 127 ,14 Flint Street ,Bancroft,Ontario,K0L1C0,bancroftlibrary@bellnet.ca
Barrie,L0043,2017,Southern Ontario Library Service,Public or Union Library,60 Worsley St ,48 Dean Ave ,Barrie,Ontario,L4N0C2,library.barrie.ca
Beausoleil First Nation Public Library,L0393,2017,Southern Ontario Library Service,First Nations Library,150 Mkade Kegwin MIIkan ,150 Mkade Kegwin MIIkan ,Christian Island,Ontario,L9M0A9,http://www.olsn.ca/bfnlibrary
Beckwith Twp,L0035,2017,Southern Ontario Library Service,Contracting Municipality,1702 9th Line Beckwith R.R.#2 ,1702 9th Line Beckwith R.R.#2 ,Carleton Place,Ontario,K7C3P2,www.twp.beckwith.on.ca
Belleville,L0081,2017,Southern Ontario Library Service,Public or Union Library,254 Pinnacle Street ,,Belleville,Ontario,K8N3B1,www.bellevillelibrary.com
Big Grassy FN,L0394,2017,Ontario Library Service - North,First Nations Library,P.O. Box 453 ,513 Beach Rd. ,Morson,Ontario,P0W1J0,www.biggrassy.ca/library
Biigtigong Nishnaabeg,L0456,2017,Ontario Library Service - North,First Nations Library,P. O. Box 216 ,21 Rabbit Drive ,Heron Bay,Ontario,P0T1R0,
Billings Twp,L0082,2017,Ontario Library Service - North,Public or Union Library,18 Upper Street P.O. Box 37 ,18 Upper Street P.O. Box 37 ,Kagawong,Ontario,P0P1J0,www.olsn.ca/billingslibrary
Bkejwanong FN,L0462,2017,Southern Ontario Library Service,First Nations Library,Walpole Island First Nation R.R. #3 ,136 Tecumseh Road ,Wallaceburg,Ontario,N8A4K9,www.bkejwanonglibrary.ca
Black River-Matheson Twp,L0083,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 450 ,352 Second Street ,Matheson,Ontario,P0K1N0,
Blind River,L0429,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 880 ,8 Woodward Avenue ,Blind River,Ontario,P0R1B0,http://www.olsn.ca/blindriverlibrary/
Bonfield,L0084,2017,Ontario Library Service - North,Public or Union Library,365 Highway 531 ,365 Highway 531 ,Bonfield,Ontario,P0H1E0,www.olsn.ca/bonfield
Bonnechere Union,L0080,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 39 ,74 A  Maple Street ,Eganville,Ontario,K0J1T0,www.bonnechereupl.com
Bracebridge,L0070,2017,Southern Ontario Library Service,Public or Union Library,94 Manitoba Street ,94 Manitoba Street ,Bracebridge,Ontario,P1L2B5,www.bracebridge.library.on.ca
Bradford West Gwillimbury Town,L0086,2017,Southern Ontario Library Service,Public or Union Library,425 Holland Street West ,425 Holland Street West ,Bradford,Ontario,L3Z0J2,www.bradford.library.on.ca
Brampton,L0041,2017,Southern Ontario Library Service,Public or Union Library,65 Queen Street East ,,Brampton,Ontario,L6W3L6,www.bramptonlibrary.ca
Brant County,L0040,2017,Southern Ontario Library Service,Public or Union Library,12 William Street ,12 William Street ,Paris,Ontario,N3L1K7,www.brantlibrary.ca
Brantford,L0039,2017,Southern Ontario Library Service,Public or Union Library,173 Colborne Street ,,Brantford,Ontario,N3T2G8,brantford.library.on.ca
Brighton Public Library Board,L0466,2017,Southern Ontario Library Service,Public or Union Library,35 Alice St P.O. Box 129 ,35 Alice Street ,Brighton,Ontario,K0K1H0,www.brighton.library.on.ca
Britt Area,L0322,2017,Ontario Library Service - North,LSB Library,P.O. Box 2 ,841 Riverside Drive ,Britt,Ontario,P0G1A0,britt.lib@hotmail.com
Brock Twp,L0038,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 310 ,401 Simcoe Street North ,Beaverton,Ontario,L0K1A0,www.brocklibraries.ca
Brockville,L0088,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 100 ,23 Buell Street ,Brockville,Ontario,K6V5T7,www.brockvillelibrary.ca
Bruce County,L0089,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",1243 Mackenzie Road ,,Town of Saugeen Shores,Ontario,N0H2C6,library.brucecounty.on.ca
Bruce Mines & Plummer Additional Union,L0044,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 249 ,33 Desbarats Street ,Bruce Mines,Ontario,P0R1C0,www.bruceminesandplummerlibrary.ca
"Brudenell, Lyndoch & Raglan Twp",L0078,2017,Southern Ontario Library Service,Contracting Municipality,42 Burnt Bridge Road   Box 40 ,,Palmer Rapids,Ontario,K0J2E0,
"Burk's Falls, Armour & Ryerson Union",L0090,2017,Ontario Library Service - North,Public or Union Library,Copeland Street P.O. Box 620 ,39 Copeland Street ,Burk's Falls,Ontario,P0A1C0,www.burksfallslibrary.com
Burlington,L0037,2017,Southern Ontario Library Service,Public or Union Library,2331 New Street ,,Burlington,Ontario,L7R1J4,www.bpl.on.ca
Caledon,L0049,2017,Southern Ontario Library Service,Public or Union Library,6500 Old Church Road ,,Caledon East,Ontario,L7C0H3,www.caledon.library.on.ca
Callander,L1036,2017,Ontario Library Service - North,Public or Union Library,30 Catherine Street P. O. Box 149 ,,Callander,Ontario,P0H1H0,mycallander.ca
"Calvin, Municipality of",L0092,2017,Ontario Library Service - North,Contracting Municipality,1355 Peddlers Dr.  R.R. #2 ,,Mattawa,Ontario,P0H1V0,www.calvintownship.ca
Cambridge,L0104,2017,Southern Ontario Library Service,Public or Union Library,1 North Square ,1 North Square ,Cambridge,Ontario,N1S2K6,www.ideaexchange.org
Carleton Place,L0048,2017,Southern Ontario Library Service,Public or Union Library,101 Beckwith Street ,101 Beckwith Street ,Carleton Place,Ontario,K7C2T3,www.carletonplacelibrary.ca
Carling Twp,L0093,2017,Ontario Library Service - North,Contracting Municipality,2 West Carling Bay Rd RR1 ,29 Mary Street ,Parry Sound,Ontario,P2A1E3,www.carlingtownship.ca
Carlow/Mayo Public Library,L0106,2017,Southern Ontario Library Service,Public or Union Library,R.R. #4 ,124 Fort Stewart Road ,Bancroft,Ontario,K0L1C0,
Casey Twp,L0094,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 460 ,6 Lachapelle Street ,Belle Vallee,Ontario,P0J1A0,harlytwp@parolink.net
Casselman,L0107,2017,Southern Ontario Library Service,Public or Union Library,764 rue Br? beuf   C.P. 340 ,,Casselman,Ontario,K0A1M0,www.bibliocasselman.ca
"Cavan Monaghan Public Library Board, Township of",L0045,2017,Southern Ontario Library Service,Public or Union Library,1 Dufferin Street ,,Millbrook,Ontario,L0A1G0,cavanmonaghanlibraries.ca
Central Manitoulin Twp,L0109,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 210 ,6020 Hwy 542 ,Mindemoya,Ontario,P0P1S0,www.centralmanitoulin.ca
Centre Hastings,L0110,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 6 ,20 Davidson Street ,Madoc,Ontario,K0K2K0,madocpubliclibrary.ca
Chamberlain Twp,L0103,2017,Ontario Library Service - North,Contracting Municipality,467501 Chamberlain Road 5 R.R. #3 ,467501 Chamberlain Road 5 ,Englehart,Ontario,P0J1H0,chamberlaintownship.com
Champlain Twp,L0108,2017,Southern Ontario Library Service,Public or Union Library,94 Main Street East P.O. Box 520 ,94 Main Street East ,Vankleek Hill,Ontario,K0B1R0,www.bc-cl.ca
Chapleau Twp,L0112,2017,Ontario Library Service - North,Public or Union Library,20 Pine West 910 ,20 Pine West 910 ,Chapleau,Ontario,P0M1K0,www.olsn.ca/chapleau
Chapple Twp,L0097,2017,Ontario Library Service - North,Contracting Municipality,54 Barwick Road P.O. Box 4 ,54 Barwick Road ,Barwick,Ontario,P0W1A0,www.chapple.on.ca
"Charlton and Dack, Municipality of",L1034,2017,Ontario Library Service - North,Contracting Municipality,287237 Sprucegrove Road ,287237 Sprucegrove Road ,Englehart,Ontario,P0J1H0,charltonanddack.com
